Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,438.35820412635803,40000016,23266721,1.7192,6454282,949487,0.2774,0.0408,14.7110%,23.7372,19242239,20.2659,481.0558,20000016,11490711,1.7405,3233671,476021,0.2814,0.0414,14.7208%,23.8010,9489979,19.9361,474.4986
traces,media_3_trace,113.6968765258789,Pass,269.3175938129425,20000046,5342932,3.7433,1130407,149580,0.2116,0.0280,13.2324%,7.4790,2720990,18.1909,136.0492,10000046,2500928,3.9985,568763,72879,0.2274,0.0291,12.8136%,7.2879,1324626,18.1757,132.4620
traces,infra_15_trace,101.22027969360352,Pass,496.4708330631256,50000052,40097107,1.2470,6957507,596361,0.1735,0.0149,8.5715%,11.9272,35790530,60.0149,715.8099,25000052,8370895,2.9865,3466846,270313,0.4142,0.0323,7.7971%,10.8125,6183932,22.8769,247.3568
traces,web_25_trace,46.08135795593262,Pass,184.2375090122223,14999989,11498314,1.3045,2548670,311532,0.2217,0.0271,12.2233%,20.7688,7501529,24.0795,500.1023,7999989,4755703,1.6822,1342253,147390,0.2822,0.0310,10.9808%,18.4238,3641161,24.7043,455.1458
traces,compress_7_trace,399.4104585647583,Pass,1183.2019641399384,130000052,27642141,4.7030,15042451,570949,0.5442,0.0207,3.7956%,4.3919,11265035,19.7304,86.6541,65000052,13533855,4.8028,7447474,266520,0.5503,0.0197,3.5787%,4.1003,5324854,19.9792,81.9208
traces,int_36_trace,201.8018684387207,Pass,582.4547739028931,53761949,52906233,1.0162,7755130,1129140,0.1466,0.0213,14.5599%,21.0026,29832530,26.4206,554.9005,27761949,24353982,1.1399,4116890,596087,0.1690,0.0245,14.4791%,21.4714,14262794,23.9274,513.7533
