Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,439.0006821155548,40000016,23419977,1.7079,6454282,956756,0.2756,0.0409,14.8236%,23.9189,19397480,20.2742,484.9368,20000016,11560639,1.7300,3233671,479485,0.2797,0.0415,14.8279%,23.9742,9560457,19.9390,478.0225
traces,media_3_trace,113.6968765258789,Pass,263.33450508117676,20000046,6557754,3.0498,1130407,235111,0.1724,0.0359,20.7988%,11.7555,4055407,17.2489,202.7699,10000046,3137214,3.1876,568763,117450,0.1813,0.0374,20.6501%,11.7449,2021863,17.2147,202.1854
traces,infra_15_trace,101.22027969360352,Pass,496.1434659957886,50000052,42903296,1.1654,6957507,713515,0.1622,0.0166,10.2553%,14.2703,38773445,54.3415,775.4681,25000052,9077813,2.7540,3466846,318321,0.3819,0.0351,9.1819%,12.7328,6953383,21.8439,278.1347
traces,web_25_trace,46.08135795593262,Pass,176.75163078308105,14999989,12751805,1.1763,2548670,389376,0.1999,0.0305,15.2776%,25.9584,8826389,22.6680,588.4264,7999989,5428292,1.4738,1342253,190322,0.2473,0.0351,14.1793%,23.7903,4351072,22.8616,543.8847
traces,compress_7_trace,399.4104585647583,Pass,1205.3150670528412,130000052,32921982,3.9487,15042451,987722,0.4569,0.0300,6.5662%,7.5979,16912152,17.1224,130.0934,65000052,15973119,4.0693,7447474,448259,0.4663,0.0281,6.0189%,6.8963,7948358,17.7316,122.2823
traces,int_36_trace,201.8018684387207,Pass,584.9386639595032,53761949,58438948,0.9200,7755130,1437285,0.1327,0.0246,18.5333%,26.7342,35821857,24.9233,666.3050,27761949,27145653,1.0227,4116890,758456,0.1517,0.0279,18.4230%,27.3200,17287406,22.7929,622.7015
