Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,480.5253801345825,40000016,23046487,1.7356,6454282,944376,0.2801,0.0410,14.6318%,23.6094,18967716,20.0849,474.1927,20000016,11376833,1.7580,3233671,473332,0.2842,0.0416,14.6376%,23.6666,9348732,19.7509,467.4362
traces,media_3_trace,113.6968765258789,Pass,289.5464572906494,20000046,7792223,2.5667,1130407,323787,0.1451,0.0416,28.6434%,16.1893,5406937,16.6991,270.3462,10000046,3779592,2.6458,568763,163311,0.1505,0.0432,28.7134%,16.3310,2724494,16.6829,272.4481
traces,infra_15_trace,101.22027969360352,Pass,536.5592570304871,50000052,44069648,1.1346,6957507,801566,0.1579,0.0182,11.5209%,16.0313,40082915,50.0058,801.6575,25000052,9928877,2.5179,3466846,370687,0.3492,0.0373,10.6923%,14.8274,7892833,21.2924,315.7127
traces,web_25_trace,46.08135795593262,Pass,202.16342210769653,14999989,13655419,1.0985,2548670,449646,0.1866,0.0329,17.6424%,29.9764,9795551,21.7850,653.0372,7999989,5954202,1.3436,1342253,224203,0.2254,0.0377,16.7035%,28.0254,4911115,21.9048,613.8902
traces,compress_7_trace,399.4104585647583,Pass,1222.6912882328033,130000052,39749356,3.2705,15042451,1485824,0.3784,0.0374,9.8775%,11.4294,24081789,16.2077,185.2445,65000052,18634508,3.4882,7447474,634369,0.3997,0.0340,8.5179%,9.7595,10708030,16.8798,164.7388
traces,int_36_trace,201.8018684387207,Pass,620.4051330089569,53761949,62924747,0.8544,7755130,1743724,0.1232,0.0277,22.4848%,32.4342,40401642,23.1697,751.4914,27761949,28809068,0.9637,4116890,890041,0.1429,0.0309,21.6193%,32.0597,18986156,21.3318,683.8913
