Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI,TblSize,HistLen,LayerSize
viz_traces,web_0_trace,104.021315574646,Pass,202.2037057876587,39999493,28942962,1.3820,11904941,438425,0.4113,0.0151,3.6827%,10.9608,17063127,38.9191,426.5836,20999493,13407811,1.5662,6370198,160425,0.4751,0.0120,2.5184%,7.6395,6442053,40.1562,306.7718,,30,
viz_traces,int_0_trace,137.11144542694092,Pass,128.06821465492249,40000041,17804962,2.2466,6223265,343058,0.3495,0.0193,5.5125%,8.5764,13537654,39.4617,338.4410,20000041,7991301,2.5027,3076555,169007,0.3850,0.0211,5.4934%,8.4503,5915838,35.0035,295.7913,,30,
viz_traces,compress_0_trace,334.9084711074829,Pass,415.9199392795563,120000052,33643865,3.5668,11747875,812194,0.3492,0.0241,6.9135%,6.7683,22626755,27.8588,188.5562,60000052,16348757,3.6700,5895554,419242,0.3606,0.0256,7.1112%,6.9874,11026703,26.3015,183.7782,,30,
viz_traces,fp_0_trace,64.73471260070801,Pass,101.17456459999084,30000052,7291831,4.1142,1619852,138024,0.2221,0.0189,8.5208%,4.6008,4182972,30.3061,139.4322,15000052,3679053,4.0772,807780,70711,0.2196,0.0192,8.7537%,4.7141,2141346,30.2831,142.7559,,30,
