Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,425.8048062324524,40000016,22999783,1.7391,6454282,935824,0.2806,0.0407,14.4993%,23.3956,18969433,20.2703,474.2356,20000016,11358969,1.7607,3233671,469315,0.2847,0.0413,14.5134%,23.4657,9355058,19.9334,467.7525
traces,media_3_trace,113.6968765258789,Pass,261.95603823661804,20000046,5753745,3.4760,1130407,175911,0.1965,0.0306,15.5617%,8.7955,3168868,18.0140,158.4430,10000046,2708915,3.6915,568763,86170,0.2100,0.0318,15.1504%,8.6170,1550034,17.9881,155.0027
traces,infra_15_trace,101.22027969360352,Pass,484.0298800468445,50000052,41491255,1.2051,6957507,649061,0.1677,0.0156,9.3289%,12.9812,37248787,57.3887,744.9750,25000052,8631941,2.8962,3466846,289613,0.4016,0.0336,8.3538%,11.5845,6474477,22.3556,258.9785
traces,web_25_trace,46.08135795593262,Pass,178.03200674057007,14999989,11932338,1.2571,2548670,337357,0.2136,0.0283,13.2366%,22.4905,7962834,23.6036,530.8560,7999989,4973181,1.6086,1342253,161149,0.2699,0.0324,12.0059%,20.1437,3874057,24.0402,484.2578
traces,compress_7_trace,399.4104585647583,Pass,1167.1286289691925,130000052,28232931,4.6046,15042451,609724,0.5328,0.0216,4.0534%,4.6902,11932335,19.5701,91.7872,65000052,13855539,4.6913,7447474,286756,0.5375,0.0207,3.8504%,4.4116,5690473,19.8443,87.5457
traces,int_36_trace,201.8018684387207,Pass,565.6711542606354,53761949,55596885,0.9670,7755130,1283282,0.1395,0.0231,16.5475%,23.8697,32781267,25.5449,609.7485,27761949,25838227,1.0745,4116890,683642,0.1593,0.0265,16.6058%,24.6251,15882231,23.2318,572.0863
