Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,426.297012090683,40000016,23455759,1.7053,6454282,957164,0.2752,0.0408,14.8299%,23.9291,19432345,20.3020,485.8084,20000016,11579102,1.7273,3233671,479828,0.2793,0.0414,14.8385%,23.9914,9579055,19.9635,478.9524
traces,media_3_trace,113.6968765258789,Pass,261.4396221637726,20000046,5540315,3.6099,1130407,165055,0.2040,0.0298,14.6014%,8.2527,2932916,17.7693,146.6455,10000046,2614647,3.8246,568763,81669,0.2175,0.0312,14.3591%,8.1669,1446156,17.7075,144.6149
traces,infra_15_trace,101.22027969360352,Pass,482.81169509887695,50000052,39989526,1.2503,6957507,606115,0.1740,0.0152,8.7117%,12.1223,35682370,58.8706,713.6467,25000052,8559998,2.9206,3466846,282887,0.4050,0.0330,8.1598%,11.3155,6384044,22.5675,255.3612
traces,web_25_trace,46.08135795593262,Pass,177.6435363292694,14999989,11599008,1.2932,2548670,317258,0.2197,0.0274,12.4480%,21.1505,7608720,23.9828,507.2484,7999989,4778794,1.6741,1342253,148842,0.2809,0.0311,11.0890%,18.6053,3668055,24.6440,458.5075
traces,compress_7_trace,399.4104585647583,Pass,1163.7068572044373,130000052,28363670,4.5833,15042451,623535,0.5303,0.0220,4.1452%,4.7964,12052165,19.3288,92.7089,65000052,13847260,4.6941,7447474,286951,0.5378,0.0207,3.8530%,4.4146,5671392,19.7643,87.2521
traces,int_36_trace,201.8018684387207,Pass,566.297563791275,53761949,52854829,1.0172,7755130,1126297,0.1467,0.0213,14.5233%,20.9497,29805222,26.4630,554.3925,27761949,24318614,1.1416,4116890,594967,0.1693,0.0245,14.4519%,21.4310,14231491,23.9198,512.6258
