Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,417.32560086250305,40000016,22901253,1.7466,6454282,935057,0.2818,0.0408,14.4874%,23.3764,18849359,20.1585,471.2338,20000016,11305369,1.7691,3233671,468721,0.2860,0.0415,14.4950%,23.4360,9292920,19.8261,464.6456
traces,media_3_trace,113.6968765258789,Pass,249.6097309589386,20000046,6804196,2.9394,1130407,256464,0.1661,0.0377,22.6878%,12.8232,4333751,16.8981,216.6871,10000046,3272424,3.0559,568763,128949,0.1738,0.0394,22.6718%,12.8948,2173072,16.8522,217.3062
traces,infra_15_trace,101.22027969360352,Pass,469.2682349681854,50000052,40745012,1.2271,6957507,701167,0.1708,0.0172,10.0778%,14.0233,36526407,52.0937,730.5274,25000052,9220258,2.7114,3466846,327618,0.3760,0.0355,9.4500%,13.1047,7109190,21.6996,284.3670
traces,web_25_trace,46.08135795593262,Pass,177.09959602355957,14999989,12605259,1.1900,2548670,380022,0.2022,0.0301,14.9106%,25.3348,8675235,22.8282,578.3494,7999989,5266125,1.5191,1342253,181048,0.2549,0.0344,13.4884%,22.6310,4185233,23.1167,523.1548
traces,compress_7_trace,399.4104585647583,Pass,1127.8621270656586,130000052,33748972,3.8520,15042451,988521,0.4457,0.0293,6.5715%,7.6040,17645322,17.8502,135.7332,65000052,16239526,4.0026,7447474,442016,0.4586,0.0272,5.9351%,6.8002,8171174,18.4861,125.7103
traces,int_36_trace,201.8018684387207,Pass,550.5018789768219,53761949,58242369,0.9231,7755130,1456497,0.1332,0.0250,18.7811%,27.0916,35507291,24.3786,660.4539,27761949,26703186,1.0396,4116890,753115,0.1542,0.0282,18.2933%,27.1276,16789099,22.2929,604.7522
