Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,431.94578886032104,40000016,22474357,1.7798,6454282,933857,0.2872,0.0416,14.4688%,23.3464,18410898,19.7149,460.2723,20000016,11090449,1.8034,3233671,467939,0.2916,0.0422,14.4708%,23.3969,9070000,19.3829,453.4996
traces,media_3_trace,113.6968765258789,Pass,261.87801909446716,20000046,6578066,3.0404,1130407,235326,0.1718,0.0358,20.8178%,11.7663,4057806,17.2433,202.8898,10000046,3161645,3.1629,568763,118498,0.1799,0.0375,20.8343%,11.8497,2038143,17.1998,203.8134
traces,infra_15_trace,101.22027969360352,Pass,489.29149103164673,50000052,42402461,1.1792,6957507,731574,0.1641,0.0173,10.5149%,14.6315,38175537,52.1827,763.5099,25000052,9370589,2.6679,3466846,340657,0.3700,0.0364,9.8261%,13.6263,7261202,21.3153,290.4475
traces,web_25_trace,46.08135795593262,Pass,179.85540580749512,14999989,12623581,1.1883,2548670,385452,0.2019,0.0305,15.1237%,25.6968,8678661,22.5155,578.5778,7999989,5326807,1.5018,1342253,186914,0.2520,0.0351,13.9254%,23.3643,4242241,22.6962,530.2809
traces,compress_7_trace,399.4104585647583,Pass,1169.9249060153961,130000052,34136878,3.8082,15042451,1008682,0.4407,0.0295,6.7056%,7.7591,18013656,17.8586,138.5665,65000052,16472235,3.9460,7447474,455466,0.4521,0.0277,6.1157%,7.0072,8384761,18.4092,128.9962
traces,int_36_trace,201.8018684387207,Pass,574.0674550533295,53761949,57675917,0.9321,7755130,1438191,0.1345,0.0249,18.5450%,26.7511,34701269,24.1284,645.4615,27761949,25836106,1.0745,4116890,722025,0.1593,0.0279,17.5381%,26.0077,15774156,21.8471,568.1934
