Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,421.111270904541,40000016,26003307,1.5383,6454282,1099853,0.2482,0.0423,17.0407%,27.4963,22008222,20.0101,550.2053,20000016,12833432,1.5584,3233671,550194,0.2520,0.0429,17.0145%,27.5097,10846753,19.7144,542.3372
traces,media_3_trace,113.6968765258789,Pass,257.6614718437195,20000046,8039919,2.4876,1130407,338892,0.1406,0.0422,29.9796%,16.9446,5661028,16.7045,283.0507,10000046,3887346,2.5725,568763,170154,0.1463,0.0438,29.9165%,17.0153,2834822,16.6603,283.4809
traces,infra_15_trace,101.22027969360352,Pass,476.9401936531067,50000052,48512101,1.0307,6957507,904895,0.1434,0.0187,13.0060%,18.0979,44581955,49.2675,891.6382,25000052,10736962,2.3284,3466846,435393,0.3229,0.0406,12.5588%,17.4157,8735449,20.0634,349.4172
traces,web_25_trace,46.08135795593262,Pass,176.33098793029785,14999989,14257750,1.0521,2548670,482054,0.1788,0.0338,18.9139%,32.1370,10435603,21.6482,695.7074,7999989,6507870,1.2293,1342253,254733,0.2063,0.0391,18.9780%,31.8417,5497228,21.5804,687.1544
traces,compress_7_trace,399.4104585647583,Pass,1150.573558807373,130000052,37751824,3.4435,15042451,1343939,0.3985,0.0356,8.9343%,10.3380,21908864,16.3020,168.5297,65000052,18194545,3.5725,7447474,604781,0.4093,0.0332,8.1206%,9.3043,10232607,16.9195,157.4246
traces,int_36_trace,201.8018684387207,Pass,558.5080878734589,53761949,64304468,0.8361,7755130,1794266,0.1206,0.0279,23.1365%,33.3743,42111040,23.4698,783.2871,27761949,29610532,0.9376,4116890,910532,0.1390,0.0308,22.1170%,32.7978,19921716,21.8792,717.5907
