Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,435.9086720943451,40000016,23357048,1.7125,6454282,954593,0.2763,0.0409,14.7901%,23.8648,19331569,20.2511,483.2890,20000016,11533311,1.7341,3233671,478538,0.2804,0.0415,14.7986%,23.9269,9531974,19.9189,476.5983
traces,media_3_trace,113.6968765258789,Pass,266.21274614334106,20000046,5039257,3.9688,1130407,129371,0.2243,0.0257,11.4446%,6.4685,2387055,18.4512,119.3525,10000046,2345156,4.2641,568763,62491,0.2425,0.0266,10.9872%,6.2491,1153128,18.4527,115.3123
traces,infra_15_trace,101.22027969360352,Pass,491.80140686035156,50000052,38651160,1.2936,6957507,583541,0.1800,0.0151,8.3872%,11.6708,34287932,58.7584,685.7579,25000052,8275058,3.0211,3466846,265003,0.4190,0.0320,7.6439%,10.6001,6077758,22.9347,243.1098
traces,web_25_trace,46.08135795593262,Pass,177.42719268798828,14999989,11059846,1.3563,2548670,284458,0.2304,0.0257,11.1610%,18.9639,7042991,24.7593,469.5331,7999989,4560443,1.7542,1342253,135487,0.2943,0.0297,10.0940%,16.9359,3439515,25.3863,429.9400
traces,compress_7_trace,399.4104585647583,Pass,1173.5557689666748,130000052,27488404,4.7293,15042451,562869,0.5472,0.0205,3.7419%,4.3298,11092632,19.7073,85.3279,65000052,13432746,4.8389,7447474,260275,0.5544,0.0194,3.4948%,4.0042,5215992,20.0403,80.2460
traces,int_36_trace,201.8018684387207,Pass,576.9223921298981,53761949,50179590,1.0714,7755130,974739,0.1545,0.0194,12.5690%,18.1306,26891544,27.5885,500.1966,27761949,22903754,1.2121,4116890,510549,0.1797,0.0223,12.4013%,18.3902,12702332,24.8798,457.5447
