Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,445.2312841415405,40000016,23035033,1.7365,6454282,944034,0.2802,0.0410,14.6265%,23.6008,18956021,20.0798,473.9003,20000016,11371252,1.7588,3233671,473159,0.2844,0.0416,14.6323%,23.6579,9343063,19.7461,467.1528
traces,media_3_trace,113.6968765258789,Pass,259.6263041496277,20000046,7180813,2.7852,1130407,280589,0.1574,0.0391,24.8219%,14.0294,4736873,16.8819,236.8431,10000046,3466778,2.8845,568763,141291,0.1641,0.0408,24.8418%,14.1290,2382017,16.8589,238.2006
traces,infra_15_trace,101.22027969360352,Pass,505.1123299598694,50000052,41109863,1.2163,6957507,735879,0.1692,0.0179,10.5768%,14.7176,36942220,50.2015,738.8436,25000052,9551802,2.6173,3466846,346938,0.3630,0.0363,10.0073%,13.8775,7480902,21.5626,299.2355
traces,web_25_trace,46.08135795593262,Pass,178.1059591770172,14999989,12857703,1.1666,2548670,398353,0.1982,0.0310,15.6298%,26.5569,8950280,22.4682,596.6858,7999989,5418048,1.4765,1342253,190804,0.2477,0.0352,14.2152%,23.8505,4346302,22.7789,543.2885
traces,compress_7_trace,399.4104585647583,Pass,1211.4761979579926,130000052,34994955,3.7148,15042451,1074884,0.4298,0.0307,7.1457%,8.2683,18948011,17.6280,145.7539,65000052,16919669,3.8417,7447474,488975,0.4402,0.0289,6.5656%,7.5227,8881294,18.1631,136.6352
traces,int_36_trace,201.8018684387207,Pass,594.9179520606995,53761949,60074890,0.8949,7755130,1588676,0.1291,0.0264,20.4855%,29.5502,37365841,23.5201,695.0239,27761949,27395584,1.0134,4116890,816023,0.1503,0.0298,19.8213%,29.3936,17480765,21.4219,629.6663
