Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,449.3316841125488,40000016,23090760,1.7323,6454282,945516,0.2795,0.0409,14.6494%,23.6379,19016605,20.1124,475.4149,20000016,11401043,1.7542,3233671,474012,0.2836,0.0416,14.6586%,23.7006,9375729,19.7795,468.7861
traces,media_3_trace,113.6968765258789,Pass,272.46248507499695,20000046,5992368,3.3376,1130407,202698,0.1886,0.0338,17.9314%,10.1349,3430381,16.9236,171.5187,10000046,2856998,3.5002,568763,101630,0.1991,0.0356,17.8686%,10.1630,1711760,16.8431,171.1752
traces,infra_15_trace,101.22027969360352,Pass,508.902859210968,50000052,37910087,1.3189,6957507,627236,0.1835,0.0165,9.0152%,12.5447,33508285,53.4221,670.1650,25000052,8855926,2.8230,3466846,302144,0.3915,0.0341,8.7152%,12.0857,6676098,22.0957,267.0434
traces,web_25_trace,46.08135795593262,Pass,183.50539636611938,14999989,11934468,1.2569,2548670,337115,0.2136,0.0282,13.2271%,22.4743,7965133,23.6273,531.0093,7999989,4914217,1.6279,1342253,157325,0.2731,0.0320,11.7210%,19.6657,3812437,24.2329,476.5553
traces,compress_7_trace,399.4104585647583,Pass,1207.2277760505676,130000052,31839784,4.0829,15042451,872505,0.4724,0.0274,5.8003%,6.7116,15622670,17.9055,120.1743,65000052,15289193,4.2514,7447474,384726,0.4871,0.0252,5.1659%,5.9189,7168793,18.6335,110.2890
traces,int_36_trace,201.8018684387207,Pass,599.0185708999634,53761949,53899145,0.9975,7755130,1225993,0.1439,0.0227,15.8088%,22.8041,30757967,25.0882,572.1141,27761949,24453591,1.1353,4116890,633820,0.1684,0.0259,15.3956%,22.8305,14309974,22.5773,515.4528
