Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,438.44059205055237,40000016,23336262,1.7141,6454282,954005,0.2766,0.0409,14.7810%,23.8501,19310025,20.2410,482.7504,20000016,11517560,1.7365,3233671,477985,0.2808,0.0415,14.7815%,23.8992,9515272,19.9071,475.7632
traces,media_3_trace,113.6968765258789,Pass,268.30667996406555,20000046,6492873,3.0803,1130407,230498,0.1741,0.0355,20.3907%,11.5249,3989374,17.3076,199.4682,10000046,3101448,3.2243,568763,115254,0.1834,0.0372,20.2640%,11.5253,1986065,17.2321,198.6056
traces,infra_15_trace,101.22027969360352,Pass,494.5953280925751,50000052,42803826,1.1681,6957507,711013,0.1625,0.0166,10.2194%,14.2202,38669283,54.3862,773.3849,25000052,9040236,2.7654,3466846,316362,0.3835,0.0350,9.1254%,12.6545,6913338,21.8526,276.5329
traces,web_25_trace,46.08135795593262,Pass,182.6958520412445,14999989,12739598,1.1774,2548670,388289,0.2001,0.0305,15.2350%,25.8860,8813374,22.6980,587.5587,7999989,5436132,1.4716,1342253,190277,0.2469,0.0350,14.1759%,23.7847,4359411,22.9109,544.9271
traces,compress_7_trace,399.4104585647583,Pass,1180.9775731563568,130000052,32326129,4.0215,15042451,948035,0.4653,0.0293,6.3024%,7.2926,16285243,17.1779,125.2710,65000052,15685352,4.1440,7447474,429628,0.4748,0.0274,5.7688%,6.6097,7644599,17.7935,117.6091
traces,int_36_trace,201.8018684387207,Pass,579.73863697052,53761949,58301673,0.9221,7755130,1433564,0.1330,0.0246,18.4854%,26.6650,35674468,24.8852,663.5635,27761949,27133007,1.0232,4116890,758870,0.1517,0.0280,18.4331%,27.3349,17267714,22.7545,621.9921
