Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,424.85033893585205,40000016,23218419,1.7228,6454282,950595,0.2780,0.0409,14.7281%,23.7649,19180368,20.1772,479.5090,20000016,11453339,1.7462,3233671,476200,0.2823,0.0416,14.7263%,23.8100,9445897,19.8360,472.2945
traces,media_3_trace,113.6968765258789,Pass,256.78100395202637,20000046,5630768,3.5519,1130407,171935,0.2008,0.0305,15.2100%,8.5967,3033081,17.6409,151.6537,10000046,2666884,3.7497,568763,85619,0.2133,0.0321,15.0535%,8.5619,1504641,17.5737,150.4634
traces,infra_15_trace,101.22027969360352,Pass,482.3618018627167,50000052,39831815,1.2553,6957507,609237,0.1747,0.0153,8.7565%,12.1847,35528876,58.3170,710.5768,25000052,8638936,2.8939,3466846,288204,0.4013,0.0334,8.3131%,11.5281,6469277,22.4469,258.7705
traces,web_25_trace,46.08135795593262,Pass,176.17428016662598,14999989,11698271,1.2822,2548670,323375,0.2179,0.0276,12.6880%,21.5583,7711531,23.8470,514.1024,7999989,4807615,1.6640,1342253,151051,0.2792,0.0314,11.2535%,18.8814,3696851,24.4742,462.1070
traces,compress_7_trace,399.4104585647583,Pass,1160.9864220619202,130000052,29123881,4.4637,15042451,676888,0.5165,0.0232,4.4999%,5.2068,12867926,19.0104,98.9840,65000052,14166167,4.5884,7447474,309480,0.5257,0.0218,4.1555%,4.7612,6018509,19.4472,92.5924
traces,int_36_trace,201.8018684387207,Pass,564.1408679485321,53761949,52993276,1.0145,7755130,1136536,0.1463,0.0214,14.6553%,21.1402,29975157,26.3741,557.5534,27761949,24336549,1.1408,4116890,599024,0.1692,0.0246,14.5504%,21.5772,14251763,23.7916,513.3560
