Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,430.31123781204224,40000016,23267414,1.7191,6454282,950099,0.2774,0.0408,14.7204%,23.7525,19244487,20.2552,481.1120,20000016,11484268,1.7415,3233671,476076,0.2816,0.0415,14.7225%,23.8038,9484067,19.9213,474.2030
traces,media_3_trace,113.6968765258789,Pass,261.5829041004181,20000046,5340523,3.7450,1130407,149150,0.2117,0.0279,13.1944%,7.4575,2717712,18.2213,135.8853,10000046,2493646,4.0102,568763,72369,0.2281,0.0290,12.7239%,7.2369,1316771,18.1952,131.6765
traces,infra_15_trace,101.22027969360352,Pass,487.0598499774933,50000052,40146530,1.2454,6957507,596744,0.1733,0.0149,8.5770%,11.9349,35833688,60.0487,716.6730,25000052,8367510,2.9878,3466846,270499,0.4143,0.0323,7.8025%,10.8199,6180570,22.8488,247.2223
traces,web_25_trace,46.08135795593262,Pass,179.5259358882904,14999989,11506960,1.3036,2548670,311763,0.2215,0.0271,12.2324%,20.7842,7511626,24.0940,500.7754,7999989,4768113,1.6778,1342253,147839,0.2815,0.0310,11.0142%,18.4799,3654869,24.7220,456.8593
traces,compress_7_trace,399.4104585647583,Pass,1172.7972660064697,130000052,27631832,4.7047,15042451,570535,0.5444,0.0206,3.7928%,4.3887,11256530,19.7298,86.5887,65000052,13529882,4.8042,7447474,266278,0.5504,0.0197,3.5754%,4.0966,5319620,19.9777,81.8402
traces,int_36_trace,201.8018684387207,Pass,572.0383088588715,53761949,52880956,1.0167,7755130,1128841,0.1467,0.0213,14.5561%,20.9970,29804740,26.4030,554.3835,27761949,24349875,1.1401,4116890,595832,0.1691,0.0245,14.4729%,21.4622,14253842,23.9226,513.4309
