Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,435.9427101612091,40000016,26173201,1.5283,6454282,1106341,0.2466,0.0423,17.1412%,27.6585,22184653,20.0523,554.6161,20000016,12928172,1.5470,3233671,553687,0.2501,0.0428,17.1226%,27.6843,10944621,19.7668,547.2306
traces,media_3_trace,113.6968765258789,Pass,265.5126299858093,20000046,7958251,2.5131,1130407,333762,0.1420,0.0419,29.5258%,16.6881,5578255,16.7133,278.9121,10000046,3853268,2.5952,568763,167926,0.1476,0.0436,29.5248%,16.7925,2799498,16.6710,279.9485
traces,infra_15_trace,101.22027969360352,Pass,498.72604608535767,50000052,48544356,1.0300,6957507,904626,0.1433,0.0186,13.0022%,18.0925,44611310,49.3146,892.2253,25000052,10713006,2.3336,3466846,432166,0.3236,0.0403,12.4657%,17.2866,8703810,20.1400,348.1517
traces,web_25_trace,46.08135795593262,Pass,180.77906203269958,14999989,14214853,1.0552,2548670,479037,0.1793,0.0337,18.7956%,31.9358,10386227,21.6815,692.4156,7999989,6482752,1.2340,1342253,253418,0.2070,0.0391,18.8800%,31.6773,5469377,21.5824,683.6731
traces,compress_7_trace,399.4104585647583,Pass,1216.1785912513733,130000052,36682798,3.5439,15042451,1271891,0.4101,0.0347,8.4553%,9.7838,20800583,16.3541,160.0044,65000052,17681011,3.6763,7447474,571842,0.4212,0.0323,7.6783%,8.7976,9699721,16.9622,149.2264
traces,int_36_trace,201.8018684387207,Pass,595.6776349544525,53761949,64094647,0.8388,7755130,1779044,0.1210,0.0278,22.9402%,33.0911,41859559,23.5292,778.6094,27761949,29602401,0.9378,4116890,910016,0.1391,0.0307,22.1045%,32.7793,19899800,21.8675,716.8013
