Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,430.3952932357788,40000016,23450924,1.7057,6454282,958141,0.2752,0.0409,14.8450%,23.9535,19429158,20.2780,485.7288,20000016,11575290,1.7278,3233671,480119,0.2794,0.0415,14.8475%,24.0059,9575561,19.9441,478.7777
traces,media_3_trace,113.6968765258789,Pass,263.73867321014404,20000046,5456984,3.6650,1130407,158937,0.2071,0.0291,14.0602%,7.9468,2844008,17.8939,142.2001,10000046,2565347,3.8981,568763,78067,0.2217,0.0304,13.7258%,7.8067,1393312,17.8476,139.3306
traces,infra_15_trace,101.22027969360352,Pass,485.8377571105957,50000052,40111298,1.2465,6957507,603325,0.1735,0.0150,8.6716%,12.0665,35806204,59.3481,716.1233,25000052,8498590,2.9417,3466846,279029,0.4079,0.0328,8.0485%,11.1611,6317992,22.6428,252.7192
traces,web_25_trace,46.08135795593262,Pass,179.42666387557983,14999989,11556326,1.2980,2548670,314508,0.2205,0.0272,12.3401%,20.9672,7563333,24.0481,504.2226,7999989,4765055,1.6789,1342253,147987,0.2817,0.0311,11.0253%,18.4984,3653083,24.6852,456.6360
traces,compress_7_trace,399.4104585647583,Pass,1187.0024859905243,130000052,28074973,4.6305,15042451,601702,0.5358,0.0214,4.0000%,4.6285,11737045,19.5064,90.2849,65000052,13713430,4.7399,7447474,278227,0.5431,0.0203,3.7359%,4.2804,5523960,19.8541,84.9839
traces,int_36_trace,201.8018684387207,Pass,580.1741271018982,53761949,52743319,1.0193,7755130,1121797,0.1470,0.0213,14.4652%,20.8660,29683728,26.4609,552.1327,27761949,24302939,1.1423,4116890,592750,0.1694,0.0244,14.3980%,21.3512,14209768,23.9726,511.8433
