Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,408.5860722064972,40000016,23128382,1.7295,6454282,942239,0.2791,0.0407,14.5987%,23.5560,19096896,20.2676,477.4222,20000016,11414342,1.7522,3233671,472124,0.2833,0.0414,14.6002%,23.6062,9409762,19.9307,470.4877
traces,media_3_trace,113.6968765258789,Pass,248.41120195388794,20000046,7143208,2.7999,1130407,277925,0.1582,0.0389,24.5863%,13.8962,4697859,16.9033,234.8924,10000046,3439486,2.9074,568763,139595,0.1654,0.0406,24.5436%,13.9594,2353020,16.8560,235.3009
traces,infra_15_trace,101.22027969360352,Pass,460.9865012168884,50000052,46024573,1.0864,6957507,817673,0.1512,0.0178,11.7524%,16.3534,42023672,51.3942,840.4726,25000052,9777641,2.5569,3466846,366524,0.3546,0.0375,10.5723%,14.6609,7702777,21.0158,308.1104
traces,web_25_trace,46.08135795593262,Pass,169.66293334960938,14999989,13434158,1.1166,2548670,429783,0.1897,0.0320,16.8630%,28.6522,9552649,22.2267,636.8437,7999989,5904150,1.3550,1342253,218593,0.2273,0.0370,16.2855%,27.3242,4856364,22.2165,607.0463
traces,compress_7_trace,399.4104585647583,Pass,1117.3539111614227,130000052,35058698,3.7081,15042451,1158831,0.4291,0.0331,7.7037%,8.9141,19101902,16.4838,146.9376,65000052,16913146,3.8432,7447474,516876,0.4403,0.0306,6.9403%,7.9519,8900854,17.2205,136.9361
traces,int_36_trace,201.8018684387207,Pass,542.0093460083008,53761949,61090124,0.8800,7755130,1581733,0.1269,0.0259,20.3960%,29.4211,38654187,24.4379,718.9878,27761949,28350219,0.9792,4116890,820947,0.1452,0.0290,19.9410%,29.5709,18565068,22.6142,668.7235
