Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,527.0133550167084,40000016,23270600,1.7189,6454282,949866,0.2774,0.0408,14.7168%,23.7466,19247269,20.2631,481.1815,20000016,11481879,1.7419,3233671,475733,0.2816,0.0414,14.7119%,23.7866,9481243,19.9298,474.0618
traces,media_3_trace,113.6968765258789,Pass,322.4769432544708,20000046,6467627,3.0923,1130407,228185,0.1748,0.0353,20.1861%,11.4092,3959925,17.3540,197.9958,10000046,3088553,3.2378,568763,113788,0.1842,0.0368,20.0062%,11.3787,1970087,17.3137,197.0078
traces,infra_15_trace,101.22027969360352,Pass,589.8548159599304,50000052,42988645,1.1631,6957507,710800,0.1618,0.0165,10.2163%,14.2160,38855725,54.6648,777.1137,25000052,9045029,2.7640,3466846,315912,0.3833,0.0349,9.1124%,12.6365,6915643,21.8910,276.6251
traces,web_25_trace,46.08135795593262,Pass,225.53170204162598,14999989,12703672,1.1808,2548670,386608,0.2006,0.0304,15.1690%,25.7739,8775864,22.6996,585.0580,7999989,5418234,1.4765,1342253,189812,0.2477,0.0350,14.1413%,23.7265,4341567,22.8730,542.6966
traces,compress_7_trace,399.4104585647583,Pass,1294.3160457611084,130000052,31679742,4.1036,15042451,903358,0.4748,0.0285,6.0054%,6.9489,15610827,17.2809,120.0832,65000052,15390624,4.2234,7447474,411279,0.4839,0.0267,5.5224%,6.3274,7334064,17.8323,112.8317
traces,int_36_trace,201.8018684387207,Pass,686.1012921333313,53761949,58365959,0.9211,7755130,1434608,0.1329,0.0246,18.4988%,26.6844,35737617,24.9111,664.7381,27761949,27174866,1.0216,4116890,760599,0.1515,0.0280,18.4751%,27.3972,17301781,22.7476,623.2192
