Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,437.3966519832611,40000016,23147270,1.7281,6454282,943330,0.2788,0.0408,14.6156%,23.5832,19115673,20.2640,477.8916,20000016,11423549,1.7508,3233671,472475,0.2831,0.0414,14.6111%,23.6237,9418673,19.9348,470.9333
traces,media_3_trace,113.6968765258789,Pass,272.44689679145813,20000046,5353115,3.7362,1130407,150610,0.2112,0.0281,13.3235%,7.5305,2728886,18.1189,136.4440,10000046,2506028,3.9904,568763,73323,0.2270,0.0293,12.8917%,7.3323,1328365,18.1166,132.8359
traces,infra_15_trace,101.22027969360352,Pass,495.87345004081726,50000052,39799392,1.2563,6957507,592721,0.1748,0.0149,8.5192%,11.8544,35480213,59.8599,709.6035,25000052,8376519,2.9845,3466846,270577,0.4139,0.0323,7.8047%,10.8231,6187594,22.8681,247.5032
traces,web_25_trace,46.08135795593262,Pass,187.8175070285797,14999989,11541881,1.2996,2548670,313326,0.2208,0.0271,12.2937%,20.8884,7549021,24.0932,503.2684,7999989,4761933,1.6800,1342253,147404,0.2819,0.0310,10.9818%,18.4255,3650335,24.7642,456.2925
traces,compress_7_trace,399.4104585647583,Pass,1163.1272251605988,130000052,27756807,4.6835,15042451,580295,0.5419,0.0209,3.8577%,4.4638,11379878,19.6105,87.5375,65000052,13571391,4.7895,7447474,269033,0.5488,0.0198,3.6124%,4.1390,5358336,19.9170,82.4359
traces,int_36_trace,201.8018684387207,Pass,579.1590509414673,53761949,52721839,1.0197,7755130,1117791,0.1471,0.0212,14.4136%,20.7915,29635793,26.5128,551.2410,27761949,24277471,1.1435,4116890,590394,0.1696,0.0243,14.3408%,21.2663,14184687,24.0258,510.9399
