Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,454.4550201892853,40000016,22874653,1.7487,6454282,934594,0.2822,0.0409,14.4802%,23.3648,18823411,20.1407,470.5851,20000016,11294386,1.7708,3233671,468484,0.2863,0.0415,14.4877%,23.4242,9281908,19.8126,464.0950
traces,media_3_trace,113.6968765258789,Pass,270.4182629585266,20000046,7971099,2.5091,1130407,340046,0.1418,0.0427,30.0817%,17.0023,5592939,16.4476,279.6463,10000046,3864133,2.5879,568763,171121,0.1472,0.0443,30.0865%,17.1120,2810690,16.4252,281.0677
traces,infra_15_trace,101.22027969360352,Pass,516.0650203227997,50000052,48110553,1.0393,6957507,882892,0.1446,0.0184,12.6898%,17.6578,44206480,50.0701,884.1287,25000052,10314999,2.4237,3466846,404955,0.3361,0.0393,11.6808%,16.1982,8297579,20.4901,331.9025
traces,web_25_trace,46.08135795593262,Pass,184.3133430480957,14999989,14152367,1.0599,2548670,478851,0.1801,0.0338,18.7883%,31.9234,10319763,21.5511,687.9847,7999989,6308780,1.2681,1342253,246446,0.2128,0.0391,18.3606%,30.8058,5286951,21.4528,660.8698
traces,compress_7_trace,399.4104585647583,Pass,1207.5047852993011,130000052,39650185,3.2787,15042451,1467200,0.3794,0.0370,9.7537%,11.2861,23921450,16.3042,184.0111,65000052,18675843,3.4804,7447474,630082,0.3988,0.0337,8.4603%,9.6936,10725077,17.0217,165.0011
traces,int_36_trace,201.8018684387207,Pass,608.1677489280701,53761949,63881314,0.8416,7755130,1771331,0.1214,0.0277,22.8408%,32.9477,41586142,23.4773,773.5237,27761949,29338870,0.9463,4116890,898590,0.1403,0.0306,21.8269%,32.3677,19634861,21.8507,707.2580
