Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,430.5889718532562,40000016,23051022,1.7353,6454282,944743,0.2800,0.0410,14.6375%,23.6186,18972215,20.0819,474.3052,20000016,11379846,1.7575,3233671,473550,0.2842,0.0416,14.6443%,23.6775,9351729,19.7481,467.5861
traces,media_3_trace,113.6968765258789,Pass,264.61407589912415,20000046,8300207,2.4096,1130407,364730,0.1362,0.0439,32.2654%,18.2365,5972751,16.3758,298.6369,10000046,4033607,2.4792,568763,183888,0.1410,0.0456,32.3312%,18.3887,3006575,16.3500,300.6561
traces,infra_15_trace,101.22027969360352,Pass,487.2883801460266,50000052,49885531,1.0023,6957507,902180,0.1395,0.0181,12.9670%,18.0436,46012484,51.0014,920.2487,25000052,10366844,2.4115,3466846,407881,0.3344,0.0393,11.7652%,16.3152,8354385,20.4824,334.1747
traces,web_25_trace,46.08135795593262,Pass,181.91849994659424,14999989,14313773,1.0479,2548670,491839,0.1781,0.0344,19.2979%,32.7893,10505826,21.3603,700.3889,7999989,6439457,1.2423,1342253,254297,0.2084,0.0395,18.9455%,31.7872,5429614,21.3515,678.7027
traces,compress_7_trace,399.4104585647583,Pass,1165.1705141067505,130000052,40408197,3.2172,15042451,1525893,0.3723,0.0378,10.1439%,11.7376,24767555,16.2315,190.5196,65000052,19058241,3.4106,7447474,660020,0.3908,0.0346,8.8623%,10.1541,11148071,16.8905,171.5086
traces,int_36_trace,201.8018684387207,Pass,572.2503559589386,53761949,66033187,0.8142,7755130,1909555,0.1174,0.0289,24.6231%,35.5187,43879856,22.9791,816.1880,27761949,30334412,0.9152,4116890,966304,0.1357,0.0319,23.4717%,34.8068,20685967,21.4073,745.1194
