Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,435.46320486068726,40000016,23235020,1.7215,6454282,950486,0.2778,0.0409,14.7264%,23.7621,19196853,20.1969,479.9211,20000016,11464778,1.7445,3233671,476117,0.2821,0.0415,14.7237%,23.8058,9457275,19.8633,472.8634
traces,media_3_trace,113.6968765258789,Pass,264.94165205955505,20000046,6775621,2.9518,1130407,250648,0.1668,0.0370,22.1733%,12.5324,4296011,17.1396,214.8001,10000046,3256722,3.0706,568763,126184,0.1746,0.0387,22.1857%,12.6183,2153943,17.0699,215.3933
traces,infra_15_trace,101.22027969360352,Pass,490.352334022522,50000052,42618557,1.1732,6957507,724109,0.1633,0.0170,10.4076%,14.4822,38507470,53.1791,770.1486,25000052,9208399,2.7149,3466846,327554,0.3765,0.0356,9.4482%,13.1021,7102198,21.6825,284.0873
traces,web_25_trace,46.08135795593262,Pass,175.87806701660156,14999989,12916400,1.1613,2548670,400448,0.1973,0.0310,15.7120%,26.6966,9000982,22.4773,600.0659,7999989,5511420,1.4515,1342253,196279,0.2435,0.0356,14.6231%,24.5349,4438868,22.6151,554.8593
traces,compress_7_trace,399.4104585647583,Pass,1201.5446109771729,130000052,35828981,3.6283,15042451,1201488,0.4198,0.0335,7.9873%,9.2422,19945943,16.6010,153.4303,65000052,17100310,3.8011,7447474,526162,0.4355,0.0308,7.0650%,8.0948,9093095,17.2819,139.8937
traces,int_36_trace,201.8018684387207,Pass,575.4750769138336,53761949,58812224,0.9141,7755130,1464946,0.1319,0.0249,18.8900%,27.2488,36236957,24.7360,674.0261,27761949,27170532,1.0218,4116890,764994,0.1515,0.0282,18.5818%,27.5555,17322126,22.6435,623.9521
