Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,432.6726839542389,40000016,22979594,1.7407,6454282,935389,0.2809,0.0407,14.4925%,23.3847,18949556,20.2585,473.7387,20000016,11352783,1.7617,3233671,469212,0.2848,0.0413,14.5102%,23.4606,9349362,19.9257,467.4677
traces,media_3_trace,113.6968765258789,Pass,270.71108198165894,20000046,5752057,3.4770,1130407,175686,0.1965,0.0305,15.5418%,8.7843,3167245,18.0279,158.3619,10000046,2716307,3.6815,568763,86608,0.2094,0.0319,15.2274%,8.6608,1558246,17.9919,155.8239
traces,infra_15_trace,101.22027969360352,Pass,484.1668322086334,50000052,41516528,1.2043,6957507,648509,0.1676,0.0156,9.3210%,12.9702,37273201,57.4752,745.4632,25000052,8626836,2.8979,3466846,289325,0.4019,0.0335,8.3455%,11.5730,6469652,22.3612,258.7855
traces,web_25_trace,46.08135795593262,Pass,189.5970618724823,14999989,11949758,1.2553,2548670,338162,0.2133,0.0283,13.2682%,22.5441,7980461,23.5995,532.0311,7999989,4985708,1.6046,1342253,161597,0.2692,0.0324,12.0392%,20.1997,3886357,24.0497,485.7953
traces,compress_7_trace,399.4104585647583,Pass,1168.832083940506,130000052,28228842,4.6052,15042451,609902,0.5329,0.0216,4.0545%,4.6916,11932767,19.5651,91.7905,65000052,13861054,4.6894,7447474,287523,0.5373,0.0207,3.8607%,4.4234,5700115,19.8249,87.6940
traces,int_36_trace,201.8018684387207,Pass,569.3636839389801,53761949,55693754,0.9653,7755130,1286445,0.1392,0.0231,16.5883%,23.9285,32886506,25.5639,611.7060,27761949,25869294,1.0732,4116890,684971,0.1591,0.0265,16.6381%,24.6730,15916071,23.2361,573.3052
