Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,444.57553720474243,40000016,22891912,1.7473,6454282,934340,0.2819,0.0408,14.4763%,23.3585,18841891,20.1660,471.0471,20000016,11296534,1.7705,3233671,468123,0.2863,0.0414,14.4765%,23.4061,9284579,19.8336,464.2286
traces,media_3_trace,113.6968765258789,Pass,276.1784248352051,20000046,5797129,3.4500,1130407,187686,0.1950,0.0324,16.6034%,9.3843,3217359,17.1422,160.8676,10000046,2757641,3.6263,568763,93983,0.2062,0.0341,16.5241%,9.3983,1603756,17.0643,160.3749
traces,infra_15_trace,101.22027969360352,Pass,500.8361988067627,50000052,38033005,1.3146,6957507,614713,0.1829,0.0162,8.8352%,12.2942,33651574,54.7436,673.0308,25000052,8716733,2.8681,3466846,294984,0.3977,0.0338,8.5087%,11.7993,6540637,22.1729,261.6249
traces,web_25_trace,46.08135795593262,Pass,182.8960371017456,14999989,11646964,1.2879,2548670,319155,0.2188,0.0274,12.5224%,21.2770,7656077,23.9886,510.4055,7999989,4785149,1.6718,1342253,149394,0.2805,0.0312,11.1301%,18.6743,3674528,24.5962,459.3166
traces,compress_7_trace,399.4104585647583,Pass,1186.12992477417,130000052,30890380,4.2084,15042451,815404,0.4870,0.0264,5.4207%,6.2723,14640751,17.9552,112.6211,65000052,14769791,4.4009,7447474,353076,0.5042,0.0239,4.7409%,5.4319,6630723,18.7799,102.0110
traces,int_36_trace,201.8018684387207,Pass,587.8178749084473,53761949,52137772,1.0312,7755130,1103136,0.1487,0.0212,14.2246%,20.5189,28921559,26.2176,537.9559,27761949,23639791,1.1744,4116890,572069,0.1742,0.0242,13.8957%,20.6062,13439612,23.4930,484.1019
