Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,409.5843200683594,40000016,23273875,1.7187,6454282,947244,0.2773,0.0407,14.6762%,23.6811,19246938,20.3189,481.1733,20000016,11483854,1.7416,3233671,474404,0.2816,0.0413,14.6708%,23.7202,9481331,19.9858,474.0662
traces,media_3_trace,113.6968765258789,Pass,249.86507105827332,20000046,7165012,2.7913,1130407,279312,0.1578,0.0390,24.7090%,13.9656,4722961,16.9093,236.1475,10000046,3440205,2.9068,568763,139720,0.1653,0.0406,24.5656%,13.9719,2356058,16.8627,235.6047
traces,infra_15_trace,101.22027969360352,Pass,475.84299993515015,50000052,46103125,1.0845,6957507,821813,0.1509,0.0178,11.8119%,16.4362,42103761,51.2328,842.0743,25000052,9833878,2.5422,3466846,370461,0.3525,0.0377,10.6858%,14.8184,7762963,20.9549,310.5179
traces,web_25_trace,46.08135795593262,Pass,169.88465523719788,14999989,13433715,1.1166,2548670,430546,0.1897,0.0320,16.8930%,28.7031,9553948,22.1903,636.9303,7999989,5905653,1.3546,1342253,219060,0.2273,0.0371,16.3203%,27.3825,4858401,22.1784,607.3010
traces,compress_7_trace,399.4104585647583,Pass,1118.84348320961,130000052,35558365,3.6560,15042451,1191692,0.4230,0.0335,7.9222%,9.1669,19604520,16.4510,150.8039,65000052,17177749,3.7840,7447474,534157,0.4336,0.0311,7.1723%,8.2178,9169616,17.1665,141.0709
traces,int_36_trace,201.8018684387207,Pass,542.9937772750854,53761949,61247098,0.8778,7755130,1586243,0.1266,0.0259,20.4541%,29.5049,38814538,24.4695,721.9704,27761949,28364635,0.9788,4116890,820496,0.1451,0.0289,19.9300%,29.5547,18582698,22.6481,669.3586
