Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,438.8839039802551,40000016,23430916,1.7071,6454282,957675,0.2755,0.0409,14.8378%,23.9419,19409983,20.2678,485.2494,20000016,11566419,1.7291,3233671,479955,0.2796,0.0415,14.8424%,23.9977,9567251,19.9336,478.3622
traces,media_3_trace,113.6968765258789,Pass,269.3445510864258,20000046,5906853,3.3859,1130407,188274,0.1914,0.0319,16.6554%,9.4137,3337182,17.7251,166.8587,10000046,2801394,3.5697,568763,93409,0.2030,0.0333,16.4232%,9.3409,1652708,17.6932,165.2700
traces,infra_15_trace,101.22027969360352,Pass,496.17936992645264,50000052,41613162,1.2015,6957507,659969,0.1672,0.0159,9.4857%,13.1994,37382649,56.6430,747.6522,25000052,8768352,2.8512,3466846,299470,0.3954,0.0342,8.6381%,11.9788,6623789,22.1184,264.9510
traces,web_25_trace,46.08135795593262,Pass,184.43634510040283,14999989,11996287,1.2504,2548670,340414,0.2125,0.0284,13.3565%,22.6943,8030392,23.5901,535.3599,7999989,4982189,1.6057,1342253,161503,0.2694,0.0324,12.0322%,20.1879,3883921,24.0486,485.4908
traces,compress_7_trace,399.4104585647583,Pass,1189.059344291687,130000052,28865613,4.5036,15042451,654489,0.5211,0.0227,4.3509%,5.0345,12614742,19.2742,97.0364,65000052,14146693,4.5947,7447474,306651,0.5264,0.0217,4.1175%,4.7177,6001688,19.5717,92.3336
traces,int_36_trace,201.8018684387207,Pass,581.750351190567,53761949,55557644,0.9677,7755130,1284439,0.1396,0.0231,16.5624%,23.8912,32741923,25.4912,609.0167,27761949,25754974,1.0779,4116890,681708,0.1598,0.0265,16.5588%,24.5555,15792951,23.1667,568.8704
