Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,434.98731899261475,40000016,23212723,1.7232,6454282,949867,0.2780,0.0409,14.7168%,23.7467,19175061,20.1871,479.3763,20000016,11456375,1.7458,3233671,476006,0.2823,0.0415,14.7203%,23.8003,9449040,19.8507,472.4516
traces,media_3_trace,113.6968765258789,Pass,266.1104152202606,20000046,6142833,3.2558,1130407,205315,0.1840,0.0334,18.1629%,10.2657,3603065,17.5490,180.1528,10000046,2937356,3.4044,568763,103214,0.1936,0.0351,18.1471%,10.3214,1803908,17.4774,180.3900
traces,infra_15_trace,101.22027969360352,Pass,491.84692573547363,50000052,41227341,1.2128,6957507,663893,0.1688,0.0161,9.5421%,13.2778,37007072,55.7425,740.1407,25000052,8875537,2.8167,3466846,306748,0.3906,0.0346,8.8480%,12.2699,6745364,21.9899,269.8140
traces,web_25_trace,46.08135795593262,Pass,183.06838703155518,14999989,12117970,1.2378,2548670,348764,0.2103,0.0288,13.6842%,23.2510,8157400,23.3895,543.8271,7999989,5022758,1.5927,1342253,165255,0.2672,0.0329,12.3118%,20.6569,3925058,23.7515,490.6329
traces,compress_7_trace,399.4104585647583,Pass,1176.6068370342255,130000052,30486353,4.2642,15042451,765321,0.4934,0.0251,5.0877%,5.8871,14360056,18.7634,110.4619,65000052,14860806,4.3739,7447474,354436,0.5011,0.0239,4.7591%,5.4529,6779101,19.1264,104.2938
traces,int_36_trace,201.8018684387207,Pass,577.2495098114014,53761949,55966334,0.9606,7755130,1309598,0.1386,0.0234,16.8869%,24.3592,33205376,25.3554,617.6371,27761949,25908044,1.0716,4116890,691087,0.1589,0.0267,16.7866%,24.8933,15978008,23.1201,575.5362
