Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,1423.2818791866302,40000016,26199124,1.5268,6454282,1106014,0.2464,0.0422,17.1361%,27.6503,22215757,20.0863,555.3937,20000016,12918069,1.5482,3233671,552697,0.2503,0.0428,17.0919%,27.6348,10936340,19.7872,546.8166
traces,media_3_trace,113.6968765258789,Pass,498.7602868080139,20000046,7946220,2.5169,1130407,331980,0.1423,0.0418,29.3682%,16.5990,5567799,16.7715,278.3893,10000046,3841943,2.6029,568763,166832,0.1480,0.0434,29.3324%,16.6831,2789335,16.7194,278.9322
traces,infra_15_trace,101.22027969360352,Pass,1518.3103551864624,50000052,48497442,1.0310,6957507,899837,0.1435,0.0186,12.9333%,17.9967,44564795,49.5254,891.2950,25000052,10687625,2.3392,3466846,430006,0.3244,0.0402,12.4034%,17.2002,8676902,20.1786,347.0754
traces,web_25_trace,46.08135795593262,Pass,170.0992248058319,14999989,14194207,1.0568,2548670,478009,0.1796,0.0337,18.7552%,31.8673,10366025,21.6858,691.0688,7999989,6477842,1.2350,1342253,252763,0.2072,0.0390,18.8312%,31.5954,5464938,21.6208,683.1182
traces,compress_7_trace,399.4104585647583,Pass,4103.232541799545,130000052,36485227,3.5631,15042451,1258081,0.4123,0.0345,8.3635%,9.6775,20600441,16.3745,158.4649,65000052,17608994,3.6913,7447474,566889,0.4229,0.0322,7.6118%,8.7214,9629492,16.9866,148.1459
traces,int_36_trace,201.8018684387207,Pass,1673.2051899433136,53761949,64010932,0.8399,7755130,1774373,0.1212,0.0277,22.8800%,33.0043,41796942,23.5559,777.4447,27761949,29605974,0.9377,4116890,910044,0.1391,0.0307,22.1051%,32.7803,19913123,21.8815,717.2812
