Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
traces,fp_13_trace,84.63656806945801,Pass,433.49802899360657,40000016,23278291,1.7183,6454282,949968,0.2773,0.0408,14.7184%,23.7492,19252228,20.2662,481.3055,20000016,11486481,1.7412,3233671,475840,0.2815,0.0414,14.7152%,23.7920,9484554,19.9322,474.2273
traces,media_3_trace,113.6968765258789,Pass,266.6084780693054,20000046,5364544,3.7282,1130407,151167,0.2107,0.0282,13.3728%,7.5583,2743626,18.1496,137.1810,10000046,2512535,3.9801,568763,73690,0.2264,0.0293,12.9562%,7.3690,1336535,18.1373,133.6529
traces,infra_15_trace,101.22027969360352,Pass,490.68826508522034,50000052,40102534,1.2468,6957507,599298,0.1735,0.0149,8.6137%,11.9859,35794025,59.7266,715.8798,25000052,8416544,2.9703,3466846,273488,0.4119,0.0325,7.8887%,10.9395,6231544,22.7854,249.2612
traces,web_25_trace,46.08135795593262,Pass,182.5743749141693,14999989,11516160,1.3025,2548670,312549,0.2213,0.0271,12.2632%,20.8366,7520381,24.0614,501.3591,7999989,4759770,1.6808,1342253,147376,0.2820,0.0310,10.9797%,18.4220,3645700,24.7374,455.7131
traces,compress_7_trace,399.4104585647583,Pass,1174.4207239151,130000052,27684655,4.6957,15042451,575243,0.5433,0.0208,3.8241%,4.4249,11308743,19.6591,86.9903,65000052,13563688,4.7922,7447474,268765,0.5491,0.0198,3.6088%,4.1348,5355108,19.9249,82.3862
traces,int_36_trace,201.8018684387207,Pass,576.5548598766327,53761949,52788663,1.0184,7755130,1124749,0.1469,0.0213,14.5033%,20.9209,29704069,26.4095,552.5110,27761949,24325687,1.1413,4116890,594438,0.1692,0.0244,14.4390%,21.4120,14229506,23.9377,512.5543
